Year,Month,TotalPrimaryEnergyConsumption,TotalPrimaryEnergyProduction,TotalPrimaryEnergyExports,TotalPrimaryEnergyImports,TotalPrimaryEnergyConsumedbytheIndustrialSector,TotalPrimaryEnergyConsumedbytheResidentialSector,PrimaryEnergyStockChange
1983,6,5677.99,5203.51,331.36,996.94,1483.51,324.79,-191.096
1983,7,5941.32,5155.91,271.26,1101.02,1510.72,280.86,-44.353
1983,8,6128.63,5524.66,346.76,1174.79,1547.97,280.23,-224.057
1983,9,5699.81,5295.72,322.92,1146.22,1530.45,281.54,-419.217
1983,10,5701.45,5454.59,323.61,1024.74,1549.43,357.35,-454.264
1983,11,5935.6,5354.62,277.96,996.58,1579.9,521.06,-137.634
1983,12,6863.36,5432.87,287.85,1023.81,1593.22,827.16,694.53
1984,1,7654.08,5862.23,244.74,1078.12,1879.64,1217.64,958.467
1984,2,6623.1,5613.8,217.41,1030.64,1691.96,944.75,196.071
1984,3,6858.67,5935.9,313.68,1026.37,1763.45,878.47,210.073
1984,4,6270.46,5642.43,324.79,1013.23,1704.83,680.17,-60.419
1984,5,6170.76,5940.7,363,1146.6,1700.73,479.53,-553.537
1984,6,6026.49,5668.69,364.92,1017.65,1609.12,337.59,-294.932
1984,7,6155.51,5778.72,324.44,1039.5,1633.01,298.47,-338.267
1984,8,6323.11,6086.22,357.83,973.13,1658.95,298.54,-378.398
1984,9,5761.18,5676.77,353.49,979.17,1578.05,312.72,-541.275
1984,10,5960.97,5548.53,293.86,1113.92,1658.82,376.91,-407.618
1984,11,6100.79,5389.2,268.97,1062.05,1595.34,556.19,-81.487
1984,12,6666.44,5656.41,359.02,990.34,1638.55,831.3,378.709
1985,1,7377.25,5808.4,303.3,904.82,1756.59,1061.43,967.338
1985,2,6880.26,5412.69,304.13,738.96,1619.15,1120.77,1032.745
1985,3,6577.55,5840.46,311.09,938.27,1627.91,816.54,109.915
1985,4,6106.13,5599.24,326.78,1009.28,1600.73,598.17,-175.61
1985,5,6005.35,5754.53,378.17,1120.08,1609.65,395.28,-491.088
1985,6,5880.48,5504.93,337.93,932.32,1543.72,327.17,-218.837
1985,7,6187.44,5519.41,324.7,962.1,1589.94,301.61,30.629
1985,8,6256.99,5702.84,416.56,924.13,1610.37,301.99,46.579
1985,9,5759,5494.75,362.6,937.63,1528.63,312.76,-310.781
1985,10,6026.25,5736.25,362.45,1003.53,1627.75,404.57,-351.075
1985,11,6059.12,5451.38,403.54,1145.92,1550.62,543.23,-134.645
1985,12,7219.11,5836.43,364.93,1163.54,1717.45,969.11,584.066
1986,1,7395.55,6012.4,317.88,1118.69,1797.33,1096.94,582.336
1986,2,6620.4,5460.02,285.11,850.97,1628.19,959.47,594.526
1986,3,6775.96,5850,305.32,918.26,1717.06,835.4,313.024
1986,4,6109.55,5526.78,376.29,1007.34,1591.41,564.73,-48.284
1986,5,6099.38,5588.41,362.5,1219.8,1613.26,423.51,-346.323
1986,6,6015.83,5396.75,313.47,1255.4,1531.85,315.69,-322.853
1986,7,6354.21,5429.05,336.62,1314.65,1492.62,294.35,-52.872
1986,8,6223.7,5547.29,372.57,1360.37,1529.35,294.8,-311.39
1986,9,5818.64,5370.61,345.79,1309.33,1479.29,302.02,-515.514
1986,10,6039.91,5633.73,348.58,1243.12,1541.61,390.98,-488.362
1986,11,6119.27,5453.74,329.66,1239.76,1489.32,564.3,-244.57
1986,12,7027.26,5761.48,327.69,1313.71,1618.27,865.61,279.762
1987,1,7472.33,5870.47,279,1262.43,1844.6,1034.09,618.435
1987,2,6729.07,5363.36,288.66,1075.84,1645.23,942.04,578.527
1987,3,6767.04,5764.02,309.29,1147.06,1619.77,830.04,165.247
1987,4,6313.87,5445.35,321.84,1122.68,1628.23,603.74,67.679
1987,5,6199.26,5487.33,298.09,1173.73,1587.15,403.21,-163.716
1987,6,6280.22,5484.37,317.27,1259.1,1606.03,313.5,-145.975
1987,7,6626.66,5429.71,304.89,1455.01,1654.98,297.01,46.828
1987,8,6514.56,5679.52,331.52,1443.13,1626.65,283.89,-276.581
1987,9,6123.88,5572.6,321.44,1345.79,1615.31,306.3,-473.074
1987,10,6362.77,5820.71,299.86,1386.3,1687.41,449.57,-544.376
1987,11,6342.06,5660.6,327.55,1360.88,1614.93,587.14,-351.87
1987,12,7277.38,5928.36,412.55,1366.27,1776.36,874.27,395.3
1988,1,7800.32,5918.82,284.98,1451.05,1759.98,1169.93,715.419
1988,2,7308.19,5646.93,272.7,1357.43,1731.54,1036.19,576.522
1988,3,7296.75,6021.13,347.04,1387.99,1841.65,863.14,234.659
1988,4,6449.81,5575.92,361.58,1381.02,1627.25,609.18,-145.559
1988,5,6390.84,5661.54,367.61,1461.14,1684.53,449.8,-364.226
1988,6,6507.74,5581.99,388.9,1382.77,1663.82,322.28,-68.124
1988,7,6746.03,5521.14,376.72,1442.95,1667,305.24,158.659
1988,8,6988.18,5951.3,402.5,1451.52,1770.99,300.47,-12.135
1988,9,6340.88,5637.78,393.35,1420.76,1703.08,310.42,-324.311
1988,10,6586.71,5739.24,378.12,1540.07,1800.36,449.25,-314.478
1988,11,6704.23,5753.55,357.23,1481.5,1740.55,626.23,-173.6
1988,12,7540.36,5880.23,435.71,1537.72,1820.93,915.55,558.122
1989,1,7638.75,5998.69,313.8,1627.41,1776.53,1049.03,326.454
1989,2,7229.61,5412.51,331.01,1434.03,1664.87,1011.18,714.072
1989,3,7541.18,6006.26,393.82,1479.82,1815.4,917.26,448.911
1989,4,6660.42,5590.87,397.38,1543.23,1683.24,630.58,-76.298
1989,5,6635.39,5863.27,412.07,1539.96,1690.46,452.35,-355.764
1989,6,6693.82,5650.62,436.45,1520.11,1698.65,339.73,-40.453
1989,7,6856.06,5512.6,319.51,1643.29,1680.96,307.04,19.681
1989,8,7028.18,6070.14,402.08,1678.37,1758.09,315.71,-318.252
1989,9,6480.98,5680.56,382.09,1536.46,1695.86,331.32,-353.947
1989,10,6790.63,5893.54,408.36,1637.01,1800.15,445.03,-331.554
1989,11,6940.3,5871.47,444.46,1595.7,1756.26,650.46,-82.413
1989,12,8245.46,5733.97,419.87,1530.92,1815.41,1122.78,1400.438
1990,1,7809.23,6273.82,344.04,1814.35,1826.56,1019.26,65.094
1990,2,7003.71,5694.48,312.47,1502.28,1643.06,852.32,119.414
1990,3,7305.26,6143.92,405.8,1575.62,1785.96,749.89,-8.481
1990,4,6767.83,5703.13,370.38,1512.24,1760.48,571.69,-77.158
1990,5,6746.03,5870.71,395.31,1735.66,1752.47,405.32,-465.019
1990,6,6756.04,5709,398.4,1669.25,1683.1,307.17,-223.801
1990,7,7032.23,5764.7,376.41,1780.53,1747.05,272.31,-136.588
1990,8,7279.16,6084.56,427.65,1698.82,1844.52,278.48,-76.565
1990,9,6613.36,5647.34,429.92,1429.79,1754.29,286.26,-33.839
1990,10,6807,6069.74,411.27,1380.13,1830.2,385.06,-231.607
1990,11,6771.69,5863.7,452.52,1382.1,1730.21,565.09,-21.59
1990,12,7542.28,5842.45,428.3,1336.49,1762.01,860.83,791.643
1991,1,8073.92,6211.23,390.71,1471.09,1866.52,1105.41,782.312
1991,2,6862.15,5647.31,459.21,1286.76,1577.64,871.43,387.292
1991,3,7139.16,6022.46,390.16,1377.14,1661.8,779.41,129.72
1991,4,6536.53,5658.38,321.81,1464.69,1615.47,544.55,-264.742
1991,5,6654.74,5793.78,480.04,1707.6,1628.13,382.78,-366.601
1991,6,6697.96,5642.07,414.05,1600.87,1634.46,292.13,-130.927
